emailStatus,email,fullName,firstName,lastName,linkedinUrl,companyName,companyWebsite,icebreaker,country,location,industry,companyWebsite,companyProfileUrl,civility,Role,CNAE,DownloadCount
deliverable,antonio.johnson@mason.com,Antonio Johnson,Antonio,Johnson,https://www.linkedin.com/in/antonio-johnson,Carr, Stewart and Bowen,harper.com,,,Phillipstown,Entertainment,http://harper.com,https://www.linkedin.com/company/carr,-stewart-and-bowen,Mr,Director,9859.0,1
,tiffany.williams@lawrence-lowery.info,Tiffany Williams,Tiffany,Williams,https://www.linkedin.com/in/tiffany-williams,Scott LLC,roberts.info,,,West Yesenia,Education,http://roberts.info,https://www.linkedin.com/company/scott-llc,Mrs,COO,6309.0,1
,judy.evans@soto.com,Judy Evans,Judy,Evans,https://www.linkedin.com/in/judy-evans,Rice LLC,anderson.net,,,Barbarafort,Education,http://anderson.net,https://www.linkedin.com/company/rice-llc,Mrs,CMO,2279.0,1
,jason.adkins@savage.com,Jason Adkins,Jason,Adkins,https://www.linkedin.com/in/jason-adkins,Terry-Morris,jordan.com,,,Chadchester,Education,http://jordan.com,https://www.linkedin.com/company/terry-morris,Mrs,COO,306.0,1
,ryan.hutchinson@romero.com,Ryan Hutchinson,Ryan,Hutchinson,https://www.linkedin.com/in/ryan-hutchinson,Miller, Carter and Hawkins,howard.com,,,Rogersborough,Finance,http://howard.com,https://www.linkedin.com/company/miller,-carter-and-hawkins,Mrs,CEO,7033.0,1
deliverable,donald.bryant@mack.com,Donald Bryant,Donald,Bryant,https://www.linkedin.com/in/donald-bryant,Mata, Castillo and Brown,hill-powers.com,,Faroe Islands,Silvatown,Healthcare,http://hill-powers.com,https://www.linkedin.com/company/mata,-castillo-and-brown,Mrs,COO,3018.0,1
deliverable,kiara.valencia@patterson.com,Kiara Valencia,Kiara,Valencia,https://www.linkedin.com/in/kiara-valencia,Ramsey-Webb,cisneros.com,,Kiribati,Kellymouth,Education,http://cisneros.com,https://www.linkedin.com/company/ramsey-webb,Mrs,CMO,824.0,1
deliverable,sarah.smith@hughes-butler.com,Sarah Smith,Sarah,Smith,https://www.linkedin.com/in/sarah-smith,Maddox-Benson,lowery.net,,Myanmar,Christinaton,Finance,http://lowery.net,https://www.linkedin.com/company/maddox-benson,Mrs,Director,2245.0,1
deliverable,kayla.gomez@ward.org,Kayla Gomez,Kayla,Gomez,https://www.linkedin.com/in/kayla-gomez,Jones-Williams,wright.com,,Switzerland,Rhondafurt,Finance,http://wright.com,https://www.linkedin.com/company/jones-williams,Mrs,CEO,5795.0,1
deliverable,nicole.carter@griffith.com,Nicole Carter,Nicole,Carter,https://www.linkedin.com/in/nicole-carter,Murphy-Padilla,howard.com,,Tuvalu,New Elizabeth,Retail,http://howard.com,https://www.linkedin.com/company/murphy-padilla,Mr,COO,3445.0,1
deliverable,kimberly.green@miller.com,Kimberly Green,Kimberly,Green,https://www.linkedin.com/in/kimberly-green,Lewis, Lowe and George,vega.com,,Western Sahara,Richardchester,Entertainment,http://vega.com,https://www.linkedin.com/company/lewis,-lowe-and-george,Mr,CFO,8713.0,1
deliverable,karen.scott@montgomery.net,Karen Scott,Karen,Scott,https://www.linkedin.com/in/karen-scott,Ford-Thomas,grimes.org,,United Kingdom,Amyview,Retail,http://grimes.org,https://www.linkedin.com/company/ford-thomas,Mr,CEO,2539.0,1
undeliverable,heather.sanchez@navarro.net,Heather Sanchez,Heather,Sanchez,https://www.linkedin.com/in/heather-sanchez,Collins Group,king-clarke.com,,Tokelau,Parkschester,Education,http://king-clarke.com,https://www.linkedin.com/company/collins-group,Mr,CMO,6289.0,1
