emailStatus,email,fullName,firstName,lastName,linkedinUrl,companyName,companyWebsite,icebreaker,country,location,industry,companyWebsite,companyProfileUrl,civility,Role,CNAE,DownloadCount
deliverable,stephen.maddox@payne.net,Stephen Maddox,Stephen,Maddox,https://www.linkedin.com/in/stephen-maddox,Bartlett-Austin,holmes.net,,Solomon Islands,Port Williamfurt,Education,http://holmes.net,https://www.linkedin.com/company/bartlett-austin,Mr,Director,6594.0,24
deliverable,paula.ferguson@davis-shea.com,Paula Ferguson,Paula,Ferguson,https://www.linkedin.com/in/paula-ferguson,Jordan-Townsend,gilmore.com,,Montserrat,Lake Lisa,Education,http://gilmore.com,https://www.linkedin.com/company/jordan-townsend,Mrs,Director,3991.0,24
undeliverable,karen.diaz@callahan.com,Karen Diaz,Karen,Diaz,https://www.linkedin.com/in/karen-diaz,Salazar, Simmons and Castro,choi-shelton.com,,Sri Lanka,Daleburgh,Education,http://choi-shelton.com,https://www.linkedin.com/company/salazar,-simmons-and-castro,Mr,Director,5261.0,24
deliverable,adam.wells@wade-mahoney.com,Adam Wells,Adam,Wells,https://www.linkedin.com/in/adam-wells,Smith, Burch and Clark,murphy.com,,Iraq,West Heidi,Education,http://murphy.com,https://www.linkedin.com/company/smith,-burch-and-clark,Mr,Director,4051.0,24
deliverable,john.martinez@gilbert.info,John Martinez,John,Martinez,https://www.linkedin.com/in/john-martinez,Gonzalez Inc,gutierrez-moss.com,,Egypt,Greeneberg,Education,http://gutierrez-moss.com,https://www.linkedin.com/company/gonzalez-inc,Mr,Director,8707.0,24
undeliverable,rachel.miller@barton.com,Rachel Miller,Rachel,Miller,https://www.linkedin.com/in/rachel-miller,Landry, Brown and Jackson,johnson-duffy.info,,Cote d'Ivoire,Jennashire,Education,http://johnson-duffy.info,https://www.linkedin.com/company/landry,-brown-and-jackson,Mrs,Director,3001.0,24
undeliverable,pamela.smith@taylor.com,Pamela Smith,Pamela,Smith,https://www.linkedin.com/in/pamela-smith,Patton-Hanna,jackson.info,,Belgium,Kristinestad,Education,http://jackson.info,https://www.linkedin.com/company/patton-hanna,Mrs,Director,7984.0,24
undeliverable,melissa.pena@kelly.com,Melissa Pena,Melissa,Pena,https://www.linkedin.com/in/melissa-pena,Farley Group,rodriguez.com,,Grenada,South Christie,Education,http://rodriguez.com,https://www.linkedin.com/company/farley-group,Mrs,Director,5134.0,24
deliverable,steven.johnson@smith-martin.biz,Steven Johnson,Steven,Johnson,https://www.linkedin.com/in/steven-johnson,Ball PLC,nguyen-dunn.net,,Slovakia (Slovak Republic),South Jenniferview,Education,http://nguyen-dunn.net,https://www.linkedin.com/company/ball-plc,Mrs,Director,9620.0,24
deliverable,robert.davidson@neal.biz,Robert Davidson,Robert,Davidson,https://www.linkedin.com/in/robert-davidson,Romero-Moran,williams.com,,United States Minor Outlying Islands,Port Tiffanyfort,Education,http://williams.com,https://www.linkedin.com/company/romero-moran,Mrs,Director,5764.0,24
deliverable,kelly.george@guzman-valentine.org,Kelly George,Kelly,George,https://www.linkedin.com/in/kelly-george,Gordon, Jacobs and Bennett,walker-livingston.biz,,Bahamas,Cookmouth,Education,http://walker-livingston.biz,https://www.linkedin.com/company/gordon,-jacobs-and-bennett,Mr,Director,2280.0,24
undeliverable,jean.nicholson@tate.org,Jean Nicholson,Jean,Nicholson,https://www.linkedin.com/in/jean-nicholson,Freeman-Williams,schmidt.info,,Aruba,New John,Education,http://schmidt.info,https://www.linkedin.com/company/freeman-williams,Mr,Director,222.0,24
